actual_group Louvain_group infoMap_group node_name
0 3 11 857
0 5 1 342
0 5 1 231
0 5 1 351
0 5 1 214
0 5 1 278
0 5 1 284
0 5 1 178
0 5 1 346
0 5 1 345
0 5 1 352
0 5 1 350
0 5 1 130
0 5 1 681
0 5 1 343
0 5 1 511
0 5 1 257
0 5 1 277
0 5 1 621
0 5 1 575
0 5 1 289
0 5 1 692
0 5 1 871
0 5 11 180
0 5 11 191
0 5 11 149
0 5 11 262
0 5 11 122
0 5 11 347
0 5 11 349
0 5 11 148
0 5 11 344
0 5 11 851
0 5 11 907
0 5 11 656
0 5 11 814
0 5 11 402
0 5 11 348
0 5 11 903
0 5 11 682
0 5 11 824
0 8 5 781
0 8 6 157
0 8 6 179
0 8 6 668
0 8 6 680
0 8 11 156
0 8 11 839
0 28 18 712
1 0 5 74
1 0 5 215
1 0 5 221
1 0 5 218
1 0 5 18
1 0 5 223
1 0 5 177
1 0 5 314
1 0 5 0
1 0 5 309
1 0 5 85
1 0 5 316
1 0 5 73
1 0 5 1
1 0 5 310
1 0 5 225
1 0 5 312
1 0 5 317
1 0 5 248
1 0 5 297
1 0 5 307
1 0 5 120
1 0 5 228
1 0 5 220
1 0 5 872
1 0 5 313
1 0 5 468
1 0 5 219
1 0 5 224
1 0 5 341
1 0 5 696
1 0 5 905
1 0 5 764
1 0 5 629
1 0 5 650
1 0 5 775
1 0 5 1002
1 1 3 516
1 1 3 517
1 1 3 743
1 3 5 17
1 3 5 459
1 3 5 222
1 3 5 226
1 3 5 311
1 3 5 227
1 3 5 315
1 5 1 797
1 5 14 605
1 5 14 846
1 8 2 308
1 8 5 734
1 8 6 904
1 8 11 645
1 8 14 697
1 12 14 414
1 12 14 479
1 12 14 449
1 12 14 603
1 12 14 916
1 13 14 415
1 13 14 852
1 23 26 675
1 29 31 731
1 34 35 798
2 3 2 340
2 3 13 862
2 4 13 482
2 10 13 134
2 10 13 521
2 10 13 554
2 10 13 553
2 10 13 598
2 10 13 766
2 10 13 583
3 3 1 79
3 3 1 445
3 3 1 497
3 3 2 531
3 3 2 77
3 3 2 78
3 3 2 539
3 3 2 811
3 3 2 848
3 5 1 483
3 7 1 581
3 7 1 557
4 1 1 902
4 3 1 183
4 3 1 290
4 3 1 576
4 3 1 727
4 3 1 584
4 3 1 620
4 3 2 256
4 3 2 419
4 3 2 702
4 3 2 626
4 4 1 133
4 4 1 93
4 4 1 464
4 4 1 655
4 4 1 844
4 5 1 129
4 5 1 280
4 5 1 232
4 5 1 493
4 5 1 172
4 5 1 14
4 5 1 440
4 5 1 168
4 5 1 65
4 5 1 450
4 5 1 486
4 5 1 426
4 5 1 526
4 5 1 458
4 5 1 401
4 5 1 515
4 5 1 543
4 5 1 53
4 5 1 292
4 5 1 275
4 5 1 176
4 5 1 562
4 5 1 425
