# Input: ./facebook/0.edges
# Nodes: 333    Edges: 2519
# Algoritm: Infomap
# Average code length: 268.333087
# Communities: 62
# NId	CommunityId
169	0
334	0
142	0
31	0
123	0
104	0
125	0
318	0
165	0
9	1
272	1
199	1
322	1
315	1
332	2
73	2
48	2
30	2
16	2
10	2
331	2
288	3
207	3
105	3
1	3
258	4
156	4
235	4
295	4
231	5
232	5
72	5
40	5
212	5
298	5
270	6
76	6
304	7
134	7
308	7
66	7
69	7
338	7
62	8
3	8
170	8
323	8
274	8
341	8
85	8
75	8
96	8
250	8
88	9
164	9
336	9
176	10
324	10
307	11
71	11
230	11
70	11
97	11
182	11
253	11
20	12
333	12
226	12
149	12
343	12
2	12
162	12
305	12
236	13
276	13
84	13
133	13
224	13
183	13
188	14
13	14
317	15
158	15
146	15
132	15
280	16
67	16
25	16
185	16
79	16
153	16
211	17
59	17
268	17
116	18
28	18
312	18
214	18
144	18
17	18
326	18
140	18
115	18
14	18
19	18
41	18
289	18
151	18
138	18
285	19
56	19
119	19
200	19
277	19
248	19
50	19
65	20
63	20
118	20
203	20
290	20
342	20
161	20
314	20
27	21
54	21
284	21
24	22
346	22
204	22
53	22
254	22
194	22
299	22
57	22
242	22
302	22
300	22
94	22
80	22
187	22
92	22
266	22
330	22
249	22
196	22
101	22
180	22
191	22
46	23
278	23
177	23
143	23
225	23
86	23
131	23
35	23
103	24
339	24
38	24
126	24
136	24
7	24
246	24
340	24
87	24
152	24
260	24
160	24
23	25
83	25
237	25
51	25
267	25
127	26
135	26
36	26
108	26
197	26
139	26
184	26
159	26
320	26
309	26
251	26
281	26
271	27
329	27
213	27
252	27
82	27
239	27
172	27
98	27
313	27
325	27
223	27
128	27
238	27
265	27
261	27
113	27
106	27
29	27
148	27
283	28
228	28
130	29
344	29
311	29
39	29
257	29
286	30
81	30
174	31
293	31
112	31
33	32
42	32
263	33
99	33
296	33
102	33
227	33
68	33
186	34
122	34
141	34
55	34
234	34
301	35
47	35
5	36
316	36
192	37
205	37
52	37
168	38
347	38
129	38
22	38
163	39
173	39
166	39
202	39
198	39
34	39
291	40
60	40
208	40
275	41
273	41
78	41
218	41
195	41
181	41
328	41
306	41
4	41
64	42
217	42
171	42
150	42
189	42
58	42
269	42
107	42
100	42
190	43
229	43
175	44
321	44
345	45
303	45
178	45
45	45
221	45
137	46
310	46
32	46
243	46
167	46
93	46
337	46
216	46
8	47
245	47
259	47
91	47
110	47
264	47
201	47
26	48
21	48
109	48
297	48
262	49
220	49
111	50
279	50
44	50
61	51
193	51
90	52
179	52
145	52
6	53
89	53
327	53
95	53
319	53
147	53
219	53
154	53
120	54
247	54
282	55
244	55
233	56
256	56
124	57
157	57
155	57
121	58
206	58
222	59
240	59
255	60
49	60
241	60
117	61
77	61
294	61
